Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","1990","1990","ha","1634130","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1990","1990","kg/ha","11653.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","1990","1990","t","19043008","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","1991","1991","ha","2551000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1991","1991","kg/ha","10193.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","1991","1991","t","26004000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","1992","1992","ha","2755000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1992","1992","kg/ha","10593.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","1992","1992","t","29184000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","1993","1993","ha","2844000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1993","1993","kg/ha","10593.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","1993","1993","t","30128000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","1994","1994","ha","2927000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1994","1994","kg/ha","10592.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","1994","1994","t","31005000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","1995","1995","ha","2944000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1995","1995","kg/ha","10667.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","1995","1995","t","31404000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","1996","1996","ha","2946000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1996","1996","kg/ha","10664.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","1996","1996","t","31418000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","1997","1997","ha","2697400","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1997","1997","kg/ha","11881.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","1997","1997","t","32050000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","1998","1998","ha","3042500","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1998","1998","kg/ha","10746.1","A","Official figure",""
