Date,Year,Month,Geopolitical_Zone,State,Avg_Humidity_Percent,Min_Humidity_Percent,Max_Humidity_Percent
1990-01-01,1990,1,North-West,Kaduna,50.7,38.4,66.9
1990-02-01,1990,2,North-West,Kaduna,38.8,25.0,57.0
1990-03-01,1990,3,North-West,Kaduna,29.2,13.1,42.3
1990-04-01,1990,4,North-West,Kaduna,69.3,58.9,79.8
1990-05-01,1990,5,North-West,Kaduna,83.3,63.8,99.8
1990-06-01,1990,6,North-West,Kaduna,85.2,67.2,104.6
1990-07-01,1990,7,North-West,Kaduna,86.4,72.8,99.5
1990-08-01,1990,8,North-West,Kaduna,86.1,73.6,96.9
1990-09-01,1990,9,North-West,Kaduna,85.0,65.8,102.1
1990-10-01,1990,10,North-West,Kaduna,79.1,60.3,89.9
1990-11-01,1990,11,North-West,Kaduna,67.8,50.9,81.9
1990-12-01,1990,12,North-West,Kaduna,59.9,47.4,70.4
1991-01-01,1991,1,North-West,Kaduna,45.7,26.1,65.0
1991-02-01,1991,2,North-West,Kaduna,48.9,32.5,64.3
1991-03-01,1991,3,North-West,Kaduna,49.4,32.9,63.7
1991-04-01,1991,4,North-West,Kaduna,69.6,54.3,82.2
1991-05-01,1991,5,North-West,Kaduna,83.8,70.7,99.7
1991-06-01,1991,6,North-West,Kaduna,86.1,76.0,103.7
1991-07-01,1991,7,North-West,Kaduna,88.1,76.4,108.0
1991-08-01,1991,8,North-West,Kaduna,90.0,71.7,109.6
1991-09-01,1991,9,North-West,Kaduna,86.1,71.3,98.2
1991-10-01,1991,10,North-West,Kaduna,81.9,63.3,97.3
1991-11-01,1991,11,North-West,Kaduna,63.5,48.1,76.7
1991-12-01,1991,12,North-West,Kaduna,56.1,41.6,67.6
1992-01-01,1992,1,North-West,Kaduna,46.1,33.9,66.0
1992-02-01,1992,2,North-West,Kaduna,30.5,11.3,44.7
1992-03-01,1992,3,North-West,Kaduna,46.6,32.1,61.8
1992-04-01,1992,4,North-West,Kaduna,65.9,48.5,78.1
1992-05-01,1992,5,North-West,Kaduna,83.0,69.6,98.5
1992-06-01,1992,6,North-West,Kaduna,85.7,74.7,104.9
1992-07-01,1992,7,North-West,Kaduna,87.2,68.1,101.5
1992-08-01,1992,8,North-West,Kaduna,89.5,76.9,106.2
1992-09-01,1992,9,North-West,Kaduna,86.6,68.1,98.2
1992-10-01,1992,10,North-West,Kaduna,78.8,65.2,91.6
1992-11-01,1992,11,North-West,Kaduna,67.1,47.8,80.0
1992-12-01,1992,12,North-West,Kaduna,57.8,42.7,75.8
1993-01-01,1993,1,North-West,Kaduna,48.9,35.2,62.4
1993-02-01,1993,2,North-West,Kaduna,42.3,30.6,59.0
1993-03-01,1993,3,North-West,Kaduna,50.6,36.0,62.2
1993-04-01,1993,4,North-West,Kaduna,58.9,45.3,68.9
1993-05-01,1993,5,North-West,Kaduna,82.8,72.7,102.1
1993-06-01,1993,6,North-West,Kaduna,85.4,71.0,96.2
1993-07-01,1993,7,North-West,Kaduna,87.3,74.1,98.7
1993-08-01,1993,8,North-West,Kaduna,88.3,77.4,107.1
1993-09-01,1993,9,North-West,Kaduna,86.5,66.9,100.6
1993-10-01,1993,10,North-West,Kaduna,80.8,65.9,94.6
1993-11-01,1993,11,North-West,Kaduna,66.4,49.0,83.0
1993-12-01,1993,12,North-West,Kaduna,60.5,48.5,78.2
1994-01-01,1994,1,North-West,Kaduna,52.6,41.2,69.1
1994-02-01,1994,2,North-West,Kaduna,39.3,21.2,55.6
1994-03-01,1994,3,North-West,Kaduna,51.7,39.4,65.3
1994-04-01,1994,4,North-West,Kaduna,71.6,54.7,88.3
1994-05-01,1994,5,North-West,Kaduna,80.6,69.4,96.1
1994-06-01,1994,6,North-West,Kaduna,85.2,67.1,104.5
1994-07-01,1994,7,North-West,Kaduna,87.8,74.6,104.0
1994-08-01,1994,8,North-West,Kaduna,90.7,71.3,108.1
1994-09-01,1994,9,North-West,Kaduna,89.3,69.7,102.8
1994-10-01,1994,10,North-West,Kaduna,85.5,72.9,96.0
1994-11-01,1994,11,North-West,Kaduna,69.1,51.5,85.5
1994-12-01,1994,12,North-West,Kaduna,61.9,43.6,78.8
1995-01-01,1995,1,North-West,Kaduna,54.4,34.9,71.4
1995-02-01,1995,2,North-West,Kaduna,47.5,32.2,65.9
1995-03-01,1995,3,North-West,Kaduna,53.9,39.1,73.2
1995-04-01,1995,4,North-West,Kaduna,69.2,52.7,88.5
1995-05-01,1995,5,North-West,Kaduna,82.5,71.4,98.5
1995-06-01,1995,6,North-West,Kaduna,85.8,72.2,104.8
1995-07-01,1995,7,North-West,Kaduna,87.8,74.8,103.6
1995-08-01,1995,8,North-West,Kaduna,89.1,77.9,100.0
1995-09-01,1995,9,North-West,Kaduna,86.8,68.9,105.3
1995-10-01,1995,10,North-West,Kaduna,84.4,67.4,102.5
1995-11-01,1995,11,North-West,Kaduna,68.3,57.2,85.1
1995-12-01,1995,12,North-West,Kaduna,61.7,44.7,73.6
1996-01-01,1996,1,North-West,Kaduna,51.7,39.3,68.7
1996-02-01,1996,2,North-West,Kaduna,47.4,32.4,64.4
1996-03-01,1996,3,North-West,Kaduna,57.2,41.2,70.0
1996-04-01,1996,4,North-West,Kaduna,65.3,49.7,83.8
1996-05-01,1996,5,North-West,Kaduna,82.6,71.5,94.6
1996-06-01,1996,6,North-West,Kaduna,85.4,68.6,98.1
1996-07-01,1996,7,North-West,Kaduna,87.5,68.2,104.2
1996-08-01,1996,8,North-West,Kaduna,88.4,68.8,102.5
1996-09-01,1996,9,North-West,Kaduna,87.6,72.4,103.2
1996-10-01,1996,10,North-West,Kaduna,81.7,65.4,96.9
1996-11-01,1996,11,North-West,Kaduna,65.9,46.1,79.4
1996-12-01,1996,12,North-West,Kaduna,58.0,39.7,76.7
1997-01-01,1997,1,North-West,Kaduna,51.1,36.6,62.1
1997-02-01,1997,2,North-West,Kaduna,36.4,26.4,48.8
1997-03-01,1997,3,North-West,Kaduna,51.1,41.0,65.9
1997-04-01,1997,4,North-West,Kaduna,72.2,60.4,82.7
1997-05-01,1997,5,North-West,Kaduna,82.8,66.9,96.9
1997-06-01,1997,6,North-West,Kaduna,85.2,73.1,95.3
1997-07-01,1997,7,North-West,Kaduna,86.5,70.8,99.2
1997-08-01,1997,8,North-West,Kaduna,87.8,71.3,97.9
1997-09-01,1997,9,North-West,Kaduna,85.4,74.2,96.9
1997-10-01,1997,10,North-West,Kaduna,83.6,66.3,96.0
1997-11-01,1997,11,North-West,Kaduna,65.6,54.4,75.8
1997-12-01,1997,12,North-West,Kaduna,56.7,43.3,74.3
