Date,Year,Month,Geopolitical_Zone,State,Rainfall_mm,Rainy_Days,Max_Daily_Rainfall_mm,Rainfall_Intensity,Drought_Index,Flood_Risk_Index
1990-01-01,1990,1,North-West,Kaduna,0.0,0,0.0,0.0,1.0,0.0
1990-02-01,1990,2,North-West,Kaduna,0.8,0,0.3,0.8,0.684,0.118
1990-03-01,1990,3,North-West,Kaduna,0.4,0,0.2,0.4,0.99,0.005
1990-04-01,1990,4,North-West,Kaduna,65.7,13,21.8,5.05,0.522,0.159
1990-05-01,1990,5,North-West,Kaduna,245.7,30,82.7,8.19,0.0,0.365
1990-06-01,1990,6,North-West,Kaduna,204.0,30,63.9,6.8,0.191,0.253
1990-07-01,1990,7,North-West,Kaduna,306.6,30,127.3,10.22,0.123,0.364
1990-08-01,1990,8,North-West,Kaduna,293.5,30,110.7,9.78,0.177,0.311
1990-09-01,1990,9,North-West,Kaduna,243.7,30,79.8,8.12,0.148,0.279
1990-10-01,1990,10,North-West,Kaduna,109.2,22,46.7,4.96,0.018,0.42
1990-11-01,1990,11,North-West,Kaduna,9.4,2,4.2,4.7,0.297,0.314
1990-12-01,1990,12,North-West,Kaduna,7.2,1,2.7,7.2,0.007,0.372
1991-01-01,1991,1,North-West,Kaduna,0.0,0,0.0,0.0,1.0,0.0
1991-02-01,1991,2,North-West,Kaduna,3.5,1,1.5,3.5,0.0,0.592
1991-03-01,1991,3,North-West,Kaduna,8.9,2,2.8,4.45,0.776,0.07
1991-04-01,1991,4,North-West,Kaduna,101.7,20,46.1,5.08,0.259,0.336
1991-05-01,1991,5,North-West,Kaduna,258.8,30,122.3,8.63,0.0,0.54
1991-06-01,1991,6,North-West,Kaduna,212.4,30,65.4,7.08,0.158,0.259
1991-07-01,1991,7,North-West,Kaduna,358.2,30,108.6,11.94,0.0,0.311
1991-08-01,1991,8,North-West,Kaduna,373.0,30,183.8,12.43,0.0,0.516
1991-09-01,1991,9,North-West,Kaduna,183.2,30,90.3,6.11,0.359,0.316
1991-10-01,1991,10,North-West,Kaduna,78.4,16,26.4,4.9,0.295,0.237
1991-11-01,1991,11,North-West,Kaduna,7.6,2,2.7,3.8,0.431,0.202
1991-12-01,1991,12,North-West,Kaduna,0.0,0,0.0,0.0,1.0,0.0
1992-01-01,1992,1,North-West,Kaduna,0.0,0,0.0,0.0,1.0,0.0
1992-02-01,1992,2,North-West,Kaduna,0.0,0,0.0,0.0,1.0,0.0
1992-03-01,1992,3,North-West,Kaduna,2.6,1,0.9,2.6,0.935,0.023
1992-04-01,1992,4,North-West,Kaduna,84.2,17,35.6,4.95,0.387,0.259
1992-05-01,1992,5,North-West,Kaduna,216.3,30,79.1,7.21,0.044,0.349
1992-06-01,1992,6,North-West,Kaduna,233.8,30,79.5,7.79,0.073,0.315
1992-07-01,1992,7,North-West,Kaduna,342.5,30,157.4,11.42,0.02,0.45
1992-08-01,1992,8,North-West,Kaduna,386.9,30,174.2,12.9,0.0,0.489
1992-09-01,1992,9,North-West,Kaduna,344.4,30,150.2,11.48,0.0,0.525
1992-10-01,1992,10,North-West,Kaduna,98.7,20,29.8,4.94,0.112,0.268
1992-11-01,1992,11,North-West,Kaduna,0.5,0,0.2,0.5,0.963,0.015
1992-12-01,1992,12,North-West,Kaduna,0.1,0,0.0,0.1,0.986,0.0
1993-01-01,1993,1,North-West,Kaduna,0.0,0,0.0,0.0,1.0,0.0
