Date,Year,Month,Geopolitical_Zone,State,Avg_Temp_C,Min_Temp_C,Max_Temp_C,Temp_Range_C,Heat_Stress_Days,Cold_Stress_Days
1990-01-01,1990,1,North-West,Kaduna,20.83,11.28,32.37,21.1,0,0
1990-02-01,1990,2,North-West,Kaduna,21.27,11.68,34.07,22.4,0,0
1990-03-01,1990,3,North-West,Kaduna,24.49,13.93,38.61,24.7,9,0
1990-04-01,1990,4,North-West,Kaduna,27.11,19.67,37.36,17.7,5,0
1990-05-01,1990,5,North-West,Kaduna,24.94,19.8,33.0,13.2,0,0
1990-06-01,1990,6,North-West,Kaduna,24.33,20.37,31.25,10.9,0,0
1990-07-01,1990,7,North-West,Kaduna,23.37,19.14,29.25,10.1,0,0
1990-08-01,1990,8,North-West,Kaduna,23.5,18.85,29.63,10.8,0,0
1990-09-01,1990,9,North-West,Kaduna,23.87,19.31,30.16,10.9,0,0
1990-10-01,1990,10,North-West,Kaduna,23.49,16.05,29.93,13.9,0,0
1990-11-01,1990,11,North-West,Kaduna,22.5,13.28,29.96,16.7,0,0
1990-12-01,1990,12,North-West,Kaduna,22.25,9.67,30.74,21.1,0,0
1991-01-01,1991,1,North-West,Kaduna,20.45,8.89,33.34,24.5,0,0
1991-02-01,1991,2,North-West,Kaduna,24.91,13.16,36.08,22.9,6,0
1991-03-01,1991,3,North-West,Kaduna,26.47,17.15,37.18,20.0,1,0
1991-04-01,1991,4,North-West,Kaduna,26.5,19.77,35.54,15.8,9,0
1991-05-01,1991,5,North-West,Kaduna,24.88,19.55,31.17,11.6,0,0
1991-06-01,1991,6,North-West,Kaduna,24.22,19.62,30.73,11.1,0,0
1991-07-01,1991,7,North-West,Kaduna,23.22,18.52,28.46,9.9,0,0
1991-08-01,1991,8,North-West,Kaduna,22.54,19.15,27.37,8.2,0,0
1991-09-01,1991,9,North-West,Kaduna,23.71,19.18,29.26,10.1,0,0
1991-10-01,1991,10,North-West,Kaduna,23.4,17.74,29.48,11.7,0,0
1991-11-01,1991,11,North-West,Kaduna,20.62,12.67,29.43,16.8,0,0
1991-12-01,1991,12,North-West,Kaduna,18.3,8.92,30.1,21.2,0,0
1992-01-01,1992,1,North-West,Kaduna,18.65,6.85,31.74,24.9,0,0
1992-02-01,1992,2,North-West,Kaduna,21.38,11.78,35.22,23.4,5,0
1992-03-01,1992,3,North-West,Kaduna,26.37,14.72,37.0,22.3,8,0
1992-04-01,1992,4,North-West,Kaduna,26.27,18.94,37.68,18.7,5,0
1992-05-01,1992,5,North-West,Kaduna,24.99,20.6,34.24,13.6,0,0
1992-06-01,1992,6,North-West,Kaduna,24.13,20.23,30.69,10.5,0,0
1992-07-01,1992,7,North-West,Kaduna,22.85,18.74,29.46,10.7,0,0
1992-08-01,1992,8,North-West,Kaduna,22.4,18.16,27.82,9.7,0,0
1992-09-01,1992,9,North-West,Kaduna,23.07,18.33,29.48,11.2,0,0
1992-10-01,1992,10,North-West,Kaduna,23.46,14.66,29.92,15.3,0,0
1992-11-01,1992,11,North-West,Kaduna,20.08,10.47,29.91,19.4,0,0
1992-12-01,1992,12,North-West,Kaduna,18.65,9.54,30.17,20.6,0,0
1993-01-01,1993,1,North-West,Kaduna,17.61,7.56,30.87,23.3,0,0
1993-02-01,1993,2,North-West,Kaduna,22.16,11.4,34.92,23.5,0,0
1993-03-01,1993,3,North-West,Kaduna,24.65,11.79,37.11,25.3,6,0
1993-04-01,1993,4,North-West,Kaduna,26.25,15.82,37.2,21.4,7,0
1993-05-01,1993,5,North-West,Kaduna,25.41,20.9,32.31,11.4,0,0
1993-06-01,1993,6,North-West,Kaduna,24.13,19.26,31.11,11.8,0,0
1993-07-01,1993,7,North-West,Kaduna,23.32,19.12,30.13,11.0,0,0
1993-08-01,1993,8,North-West,Kaduna,23.06,19.23,28.69,9.5,0,0
1993-09-01,1993,9,North-West,Kaduna,23.5,18.74,29.64,10.9,0,0
1993-10-01,1993,10,North-West,Kaduna,23.79,15.14,30.03,14.9,0,0
1993-11-01,1993,11,North-West,Kaduna,22.38,13.81,30.53,16.7,0,0
1993-12-01,1993,12,North-West,Kaduna,19.29,10.11,29.96,19.8,0,0
1994-01-01,1994,1,North-West,Kaduna,19.99,8.64,31.99,23.3,0,0
